query_id,query,domain,doc_id,original_score,original_position,final_score,final_position,is_relevant,triggered_rerank,position_improved
query_1,量子计算的应用前景有哪些？,medical,doc_1_8,0.988807458939145,8,1.683149810719144,1,True,True,True
query_1,量子计算的应用前景有哪些？,medical,doc_1_6,0.6804236659798596,6,1.5932064528470373,2,True,True,True
query_1,量子计算的应用前景有哪些？,medical,doc_1_10,0.9069645615294206,10,1.5502440796879815,3,True,True,True
query_1,量子计算的应用前景有哪些？,medical,doc_1_2,0.5829510973438846,2,0.7610805782061746,4,False,True,False
query_1,量子计算的应用前景有哪些？,medical,doc_1_9,0.35514005466527443,9,0.7167409969797002,5,False,True,True
query_1,量子计算的应用前景有哪些？,medical,doc_1_7,0.3220571476221038,7,0.6862002014007729,6,False,True,True
query_1,量子计算的应用前景有哪些？,medical,doc_1_3,0.6428525376613404,3,0.6123260560029149,7,False,True,False
query_1,量子计算的应用前景有哪些？,medical,doc_1_5,0.09888603378985916,5,0.594992320049591,8,False,True,False
query_1,量子计算的应用前景有哪些？,medical,doc_1_1,0.673246060320388,1,0.568412640230339,9,False,True,False
query_1,量子计算的应用前景有哪些？,medical,doc_1_4,0.0036188661196191463,4,0.4319766815598256,10,False,True,False
query_10,量子计算的应用前景有哪些？,medical,doc_10_10,0.9458633288171402,10,1.8894596396141357,1,True,True,True
query_10,量子计算的应用前景有哪些？,medical,doc_10_8,0.9396292473786865,8,1.765880015608257,2,True,True,True
query_10,量子计算的应用前景有哪些？,medical,doc_10_2,0.923635940825955,2,1.7549648485209615,3,True,True,False
query_10,量子计算的应用前景有哪些？,medical,doc_10_9,0.9247618380827872,9,1.4406757023060022,4,True,True,True
query_10,量子计算的应用前景有哪些？,medical,doc_10_1,0.9982610380829017,1,0.9214754371579824,5,False,True,False
query_10,量子计算的应用前景有哪些？,medical,doc_10_6,0.6271233531140132,6,0.9122765729770191,6,False,True,False
query_10,量子计算的应用前景有哪些？,medical,doc_10_4,0.5922646187615007,4,0.8819722616045074,7,False,True,False
