query_id,query,doc_id,score,title_match,position,freshness,authority,is_relevant,domain,is_risk_domain
query_1,量子计算的应用前景有哪些？,doc_1_8,0.988807458939145,0.06064703232804591,8,0.6413580328949533,0.6745502318713897,True,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_10,0.9069645615294206,0.6057396444250663,10,0.42417106174233776,0.13550040126470464,True,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_6,0.6804236659798596,0.36101931556284095,6,0.8476409859224181,0.5447014091365286,True,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_1,0.673246060320388,0.4753721200881045,1,0.22066088272322504,0.13605101345162962,False,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_3,0.6428525376613404,0.16206471362937314,3,0.3530051712540354,0.6161163210796957,False,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_2,0.5829510973438846,0.6849346502163883,2,0.3832986389351204,0.6731998989421427,False,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_9,0.35514005466527443,0.9318312031111339,9,0.5289411988501505,0.5095452360047407,False,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_7,0.3220571476221038,0.36274935808401165,7,0.6693637882070984,0.9960234924509715,False,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_5,0.09888603378985916,0.39856129093346604,5,0.8175928190161765,0.8863308444823101,False,medical,True
query_1,量子计算的应用前景有哪些？,doc_1_4,0.0036188661196191463,0.8368580387842598,4,0.11878587553995312,0.5976534719189991,False,medical,True
query_2,什么是人工智能的最新发展？,doc_2_9,0.9165127897512374,0.250968225050197,9,0.6991092943011377,0.7086679638278943,True,medical,True
query_2,什么是人工智能的最新发展？,doc_2_6,0.8104565449992222,0.5180725936952029,6,0.9822607180631879,0.25901196062726983,False,medical,True
query_2,什么是人工智能的最新发展？,doc_2_5,0.6743739807619585,0.32742050405347356,5,0.5696158925463255,0.8898462444633012,False,medical,True
query_2,什么是人工智能的最新发展？,doc_2_3,0.5243957764480509,0.37294990922297855,3,0.27251092968534707,0.7670137077797646,False,medical,True
query_2,什么是人工智能的最新发展？,doc_2_4,0.4744994611517067,0.26277356101048244,4,0.9061382928075189,0.8022233777127308,False,medical,True
query_2,什么是人工智能的最新发展？,doc_2_8,0.39274632325405257,0.5253982609418836,8,0.7873599437360757,0.314036576756337,False,medical,True
