query,rank,score,label,bucket
智能手机推荐_1,1,1.0,4,ecommerce
智能手机推荐_1,2,0.8102787950039811,3,ecommerce
智能手机推荐_1,3,0.5328378479084426,2,ecommerce
智能手机推荐_1,4,0.5044878061842291,2,ecommerce
智能手机推荐_1,5,0.4405918360997578,2,ecommerce
智能手机推荐_1,6,0.4151506660391757,2,ecommerce
智能手机推荐_1,7,0.39268910594066553,1,ecommerce
智能手机推荐_1,8,0.29466522035125,0,ecommerce
智能手机推荐_1,9,0.2832447422198703,0,ecommerce
智能手机推荐_1,10,0.25284822840349064,0,ecommerce
智能手机推荐_1,11,0.20938265448866608,0,ecommerce
智能手机推荐_1,12,0.14288966918311177,0,ecommerce
智能手机推荐_1,13,0.09014562486651231,0,ecommerce
智能手机推荐_1,14,0.0023075613640213266,0,ecommerce
智能手机推荐_1,15,0.0,0,ecommerce
个人理财建议_2,1,1.0,4,finance
个人理财建议_2,2,0.8919170306141502,4,finance
个人理财建议_2,3,0.7215316593605576,4,finance
个人理财建议_2,4,0.5976687434018929,2,finance
个人理财建议_2,5,0.5032513772544589,4,finance
个人理财建议_2,6,0.48079899101734785,2,finance
个人理财建议_2,7,0.36893477316427115,2,finance
个人理财建议_2,8,0.31471727245484304,1,finance
个人理财建议_2,9,0.20298333703144697,0,finance
个人理财建议_2,10,0.18039070620535827,0,finance
个人理财建议_2,11,0.15344329395101444,0,finance
个人理财建议_2,12,0.0727576825629844,0,finance
个人理财建议_2,13,0.06712467085011437,0,finance
个人理财建议_2,14,0.0,0,finance
个人理财建议_2,15,0.0,0,finance
厨房电器选购指南_3,1,1.0,4,ecommerce
厨房电器选购指南_3,2,0.9326888055138165,4,ecommerce
厨房电器选购指南_3,3,0.8928679760809008,3,ecommerce
厨房电器选购指南_3,4,0.644639166522551,2,ecommerce
厨房电器选购指南_3,5,0.5158484205244308,3,ecommerce
厨房电器选购指南_3,6,0.4489069210452296,1,ecommerce
厨房电器选购指南_3,7,0.3545342973846405,1,ecommerce
厨房电器选购指南_3,8,0.32545564070798416,2,ecommerce
厨房电器选购指南_3,9,0.27355343310458335,1,ecommerce
厨房电器选购指南_3,10,0.2354866738364044,0,ecommerce
厨房电器选购指南_3,11,0.21628517533958838,0,ecommerce
厨房电器选购指南_3,12,0.0558803892377214,0,ecommerce
厨房电器选购指南_3,13,0.037956673751676634,0,ecommerce
厨房电器选购指南_3,14,0.026898102395548296,0,ecommerce
厨房电器选购指南_3,15,0.011158027661801379,0,ecommerce
如何重置密码_4,1,0.6901557001108474,2,faq
如何重置密码_4,2,0.6791173840706315,2,faq
如何重置密码_4,3,0.58483828566975,2,faq
如何重置密码_4,4,0.5494409042165698,4,faq
如何重置密码_4,5,0.5395526324028985,3,faq
如何重置密码_4,6,0.5314512788011363,2,faq
如何重置密码_4,7,0.5150684414038621,2,faq
如何重置密码_4,8,0.5036067158427981,4,faq
如何重置密码_4,9,0.45983448537696103,0,faq
如何重置密码_4,10,0.3155744736850521,2,faq
如何重置密码_4,11,0.20975536374300105,0,faq
如何重置密码_4,12,0.17520478891657823,0,faq
如何重置密码_4,13,0.0622512051128159,0,faq
如何重置密码_4,14,0.0,0,faq
如何重置密码_4,15,0.0,0,faq
治疗糖尿病的方法_5,1,0.894740188090902,3,medical
治疗糖尿病的方法_5,2,0.7767475761486208,4,medical
治疗糖尿病的方法_5,3,0.7577244731502324,3,medical
治疗糖尿病的方法_5,4,0.6219196280170074,2,medical
治疗糖尿病的方法_5,5,0.5401710062003083,2,medical
治疗糖尿病的方法_5,6,0.4780244426899387,1,medical
治疗糖尿病的方法_5,7,0.4736346398469804,1,medical
治疗糖尿病的方法_5,8,0.44705023526527626,1,medical
治疗糖尿病的方法_5,9,0.36360906630918993,1,medical
治疗糖尿病的方法_5,10,0.15478861034516153,1,medical
治疗糖尿病的方法_5,11,0.13438231903006956,0,medical
治疗糖尿病的方法_5,12,0.10713702588213395,0,medical
治疗糖尿病的方法_5,13,0.04625227085814765,0,medical
治疗糖尿病的方法_5,14,0.009384260421518548,0,medical
治疗糖尿病的方法_5,15,0.0,0,medical
如何重置密码_6,1,0.7200187025125957,3,faq
如何重置密码_6,2,0.575290376752243,2,faq
如何重置密码_6,3,0.5679314663847242,0,faq
如何重置密码_6,4,0.552680453252283,0,faq
如何重置密码_6,5,0.5230949163374247,2,faq
如何重置密码_6,6,0.5027333903555532,2,faq
如何重置密码_6,7,0.4145194902056031,4,faq
如何重置密码_6,8,0.2887820260599576,1,faq
如何重置密码_6,9,0.2696860965269291,1,faq
如何重置密码_6,10,0.2488743719061893,0,faq
如何重置密码_6,11,0.16797790987631211,1,faq
如何重置密码_6,12,0.13670100429158136,0,faq
如何重置密码_6,13,0.04647830891260435,0,faq
如何重置密码_6,14,0.0,0,faq
如何重置密码_6,15,0.0,0,faq
个人理财建议_7,1,0.6175398344554962,2,finance
个人理财建议_7,2,0.5119919773290662,2,finance
个人理财建议_7,3,0.47828923449138494,1,finance
个人理财建议_7,4,0.42355261863776666,2,finance
个人理财建议_7,5,0.38665477040624857,1,finance
个人理财建议_7,6,0.2925425212949305,0,finance
个人理财建议_7,7,0.2121302395533356,1,finance
个人理财建议_7,8,0.18786297949684502,0,finance
个人理财建议_7,9,0.17744690020326914,1,finance
个人理财建议_7,10,0.16200280663867603,0,finance
个人理财建议_7,11,0.12905387042913852,1,finance
个人理财建议_7,12,0.11875272163638256,1,finance
个人理财建议_7,13,0.0009485413465365189,0,finance
个人理财建议_7,14,0.0,0,finance
个人理财建议_7,15,0.0,0,finance
时尚服装搭配_8,1,0.9624677529048561,4,ecommerce
时尚服装搭配_8,2,0.6132235287469981,3,ecommerce
时尚服装搭配_8,3,0.5296745814158702,0,ecommerce
时尚服装搭配_8,4,0.49975301385538573,4,ecommerce
时尚服装搭配_8,5,0.4681555294979878,1,ecommerce
时尚服装搭配_8,6,0.4628011192896262,1,ecommerce
时尚服装搭配_8,7,0.3766007231987801,1,ecommerce
时尚服装搭配_8,8,0.3248476025485,1,ecommerce
时尚服装搭配_8,9,0.3170832477614561,1,ecommerce
时尚服装搭配_8,10,0.21158023955015834,0,ecommerce
时尚服装搭配_8,11,0.1927321941965829,0,ecommerce
时尚服装搭配_8,12,0.18549398732492042,0,ecommerce
时尚服装搭配_8,13,0.12827980023048088,1,ecommerce
时尚服装搭配_8,14,0.07705006900615144,0,ecommerce
时尚服装搭配_8,15,0.0,0,ecommerce
如何重置密码_9,1,0.4531912546834429,0,faq
如何重置密码_9,2,0.44316779579333154,2,faq
如何重置密码_9,3,0.4083008710740915,4,faq
如何重置密码_9,4,0.26632503784054806,1,faq
如何重置密码_9,5,0.244139876748372,1,faq
如何重置密码_9,6,0.23496242153046362,0,faq
